release_build,eol_date,component,cell_value,status,source_row,source_component_col,source_cell
Release 16 | (Build 14.0.2.33605),Jul-2024,AI Assistant,,End of Life,39,AD,AD39
Release 16 | (Build 14.0.2.33605),Jul-2024,Import Manager,,End of Life,39,AE,AE39
Release 16 | (Build 14.0.2.33605),Jul-2024,Workflow UI,,End of Life,39,AF,AF39
Release 16 | (Build 14.0.2.33605),Jul-2024,IOM SDK,,End of Life,39,AG,AG39
Release 16 | (Build 14.0.2.33605),Jul-2024,Package Import/Export Utility,,End of Life,39,AH,AH39
Release 16 | (Build 14.0.2.33605),Jul-2024,3D Visualization,Release 19 (14.0.2)[1],End of Life,42,Y,Y42
Release 16 | (Build 14.0.2.33605),Jul-2024,3D Visualization,Release 21 (14.0.3),End of Life,45,Y,Y45
Release 16 | (Build 14.0.2.33605),Jul-2024,Enterprise Search,Release 20 (14.0.2),End of Life,48,X,X48
Release 16 | (Build 14.0.2.33605),Jul-2024,3D Visualization,Release 26 (14.0.4),End of Life,48,Y,Y48
Release 16 | (Build 14.0.2.33605),Jul-2024,3D Visualization,Release 29 (14.0.5),End of Life,51,Y,Y51
Release 16 | (Build 14.0.2.33605),Jul-2024,3D Visualization,Release 31 (14.0.6),End of Life,54,Y,Y54
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Product Engineering,Release 14 | (14.0.1),End of Life,57,D,D57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Program Management,Release 14 | (14.0.1),End of Life,57,E,E57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Requirements Engineering,Release 14 | (14.0.1),End of Life,57,F,F57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Systems Architecture,Release 14 | (14.0.1),End of Life,57,G,G57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Simulation Management,Release 14 | (14.0.1),End of Life,57,H,H57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Component Engineering,Release 14 | (14.0.1),End of Life,57,I,I57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Technical Documentation,Release 14 | (14.0.1),End of Life,57,J,J57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Quality Management System,Release 14 | (14.0.1),End of Life,57,K,K57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Process Quality Binding,Release 14 | (14.0.1),End of Life,57,L,L57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Manufacturing Process Planning,Release 14 | (14.0.1),End of Life,57,M,M57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Digital Twin Core,,End of Life,57,N,N57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Unified Change Management,,End of Life,57,O,O57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Variant Management,,End of Life,57,P,P57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,High Tech Electronics,,End of Life,57,Q,Q57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Supplier Management,,End of Life,57,R,R57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Aras ProAppDesigner,,End of Life,57,S,S57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Aras Portal,,End of Life,57,T,T57
Release 17 | (Build 14.0.3.34066),Jun-2025 2,Office Connector,Release 14 | (14.0.1),End of Life,57,U,U57
