release_build,eol_date,component,cell_value,status,source_row,source_component_col,source_cell
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Office Connector,Release 14 (14.0.1),Supported,270,U,U270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Office Productivity Connector,Release 27 | (14.0.1),Certified,270,V,V270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Enterprise Search,Release 14 (14.0.1),Supported,270,X,X270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,3D Visualization,Release 14 (14.0.1),Supported,270,Y,Y270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Process Engine,Release 18 | (14.0.1),Supported,270,Z,Z270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Event Handling Framework,Release 27 | (14.0.1),Certified,270,AA,AA270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,AI Assistant,Release 35 [3] | (14.0.1),Certified,270,AD,AD270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,IOM SDK,15.0.1,Certified,270,AG,AG270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Package Import/Export Utility,15.0.0,Certified,270,AH,AH270
Release 27 | (Build 14.0.15.38102),Jun-2026 4,3D Visualization,Release 21 (14.0.3),Supported,273,Y,Y273
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Office Connector,Release 20 (14.0.2),Supported,274,U,U274
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Enterprise Search,Release 20 (14.0.2),Supported,275,X,X275
Release 27 | (Build 14.0.15.38102),Jun-2026 4,3D Visualization,Release 26 (14.0.4),Supported,276,Y,Y276
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Variant Management,Release 27 | (14.0.2),Certified,278,P,P278
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Office Connector,Release 24 (14.0.3),Supported,278,U,U278
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Event Handling Framework,Release 32 | (14.0.2),Certified,278,AA,AA278
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Simulation Management,Release 23 (14.0.2),Supported,279,H,H279
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Component Engineering,Release 22 | (14.0.2),Certified,279,I,I279
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Aras Portal,Release 14 | (14.14.27),Certified,279,T,T279
Release 27 | (Build 14.0.15.38102),Jun-2026 4,3D Visualization,Release 29 (14.0.5),Certified,279,Y,Y279
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Enterprise Search,Release 32 (14.0.3),Certified,280,X,X280
Release 27 | (Build 14.0.15.38102),Jun-2026 4,Office Connector,Release 27 (14.0.4),Certified,282,U,U282
Release 27 | (Build 14.0.15.38102),Jun-2026 4,3D Visualization,Release 31 (14.0.6),Certified,282,Y,Y282
Release 27 | (Build 14.0.15.38102),Jun-2026 4,3D Visualization,Release 33 (14.0.7),Certified,285,Y,Y285
Release 27 | (Build 14.0.15.38102),Jun-2026 4,3D Visualization,Release 35 (14.0.8),Certified,288,Y,Y288
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Product Engineering,Release 14 | (14.0.1),Certified,291,D,D291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Program Management,Release 14 | (14.0.1),Supported,291,E,E291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Requirements Engineering,Release 14 | (14.0.1),Supported,291,F,F291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Systems Architecture,Release 14 | (14.0.1),Supported,291,G,G291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Simulation Management,Release 14 (14.0.1),Supported,291,H,H291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Component Engineering,Release 14 | (14.0.1),Supported,291,I,I291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Technical Documentation,Release 14 | (14.0.1),Supported,291,J,J291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Quality Management System,Release 14 | (14.0.1),Supported,291,K,K291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Process Quality Binding,Release 14 | (14.0.1),Supported,291,L,L291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Manufacturing Process Planning,Release 19 | (14.0.2),Supported,291,M,M291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Digital Twin Core,Release 20 | (14.0.1),Supported,291,N,N291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Variant Management,Release 22 | (14.0.1),Supported,291,P,P291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Supplier Management,Release 27 | (14.0.8.1.1),End of Life,291,R,R291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Aras ProAppDesigner,Release 14 | (14.14.27),Certified,291,S,S291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Aras Portal,Release 27 | (14.0.8.1.1),End of Life,291,T,T291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Office Connector,Release 14 (14.0.1),Supported,291,U,U291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Office Productivity Connector,Release 27 | (14.0.1),Certified,291,V,V291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Enterprise Search,Release 14 (14.0.1),Supported,291,X,X291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,3D Visualization,Release 14 (14.0.1),Supported,291,Y,Y291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Process Engine,Release 18 | (14.0.1),Supported,291,Z,Z291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Event Handling Framework,Release 27 | (14.0.1),Supported,291,AA,AA291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Reporting,Release 28 (14.0.1),Certified,291,AB,AB291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,AI Assistant,Release 35 [3] | (14.0.1),Certified,291,AD,AD291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,IOM SDK,15.0.1,Certified,291,AG,AG291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Package Import/Export Utility,15.0.0,Certified,291,AH,AH291
Release 28 | (Build 14.0.18.39055),Jun-2026 4,3D Visualization,Release 21 (14.0.3),Supported,294,Y,Y294
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Office Connector,Release 20 (14.0.2),Supported,295,U,U295
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Enterprise Search,Release 20 (14.0.2),Supported,296,X,X296
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Reporting,Release 29 (14.0.2),Certified,296,AB,AB296
Release 28 | (Build 14.0.18.39055),Jun-2026 4,3D Visualization,Release 26 (14.0.4),Supported,297,Y,Y297
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Variant Management,Release 27 | (14.0.2),Supported,299,P,P299
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Office Connector,Release 24 (14.0.3),Supported,299,U,U299
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Event Handling Framework,Release 32 | (14.0.2),Certified,299,AA,AA299
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Simulation Management,Release 23 (14.0.2),Supported,300,H,H300
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Component Engineering,Release 22 | (14.0.2),Certified,300,I,I300
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Aras Portal,Release 14 | (14.14.27),Certified,300,T,T300
Release 28 | (Build 14.0.18.39055),Jun-2026 4,3D Visualization,Release 29 (14.0.5),Certified,300,Y,Y300
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Enterprise Search,Release 32 (14.0.3),Certified,301,X,X301
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Reporting,Release 36 (14.0.3),Certified,301,AB,AB301
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Office Connector,Release 27 (14.0.4),Supported,303,U,U303
Release 28 | (Build 14.0.18.39055),Jun-2026 4,3D Visualization,Release 31 (14.0.6),Certified,303,Y,Y303
Release 28 | (Build 14.0.18.39055),Jun-2026 4,3D Visualization,Release 33 (14.0.7),Certified,306,Y,Y306
Release 28 | (Build 14.0.18.39055),Jun-2026 4,Reporting,Release 37 (14.0.4),Certified,306,AB,AB306
Release 28 | (Build 14.0.18.39055),Jun-2026 4,3D Visualization,Release 35 (14.0.8),Certified,309,Y,Y309
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Product Engineering,Release 14 | (14.0.1),Certified,312,D,D312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Program Management,Release 14 | (14.0.1),Supported,312,E,E312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Requirements Engineering,Release 14 | (14.0.1),Supported,312,F,F312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Systems Architecture,Release 14 | (14.0.1),Supported,312,G,G312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Simulation Management,Release 14 (14.0.1),Supported,312,H,H312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Component Engineering,Release 14 | (14.0.1),Supported,312,I,I312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Technical Documentation,Release 14 | (14.0.1),Supported,312,J,J312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Quality Management System,Release 14 | (14.0.1),Supported,312,K,K312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Process Quality Binding,Release 14 | (14.0.1),Supported,312,L,L312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Manufacturing Process Planning,Release 19 | (14.0.2),Supported,312,M,M312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Digital Twin Core,Release 20 | (14.0.1),Supported,312,N,N312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Variant Management,Release 22 | (14.0.1),Supported,312,P,P312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Supplier Management,Release 27 | (14.0.8.1.1),End of Life,312,R,R312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Aras ProAppDesigner,Release 14 | (14.14.27),Certified,312,S,S312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Aras Portal,Release 27 | (14.0.8.1.1),End of Life,312,T,T312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Office Connector,Release 14 (14.0.1),Supported,312,U,U312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Office Productivity Connector,Release 27 | (14.0.1),Certified,312,V,V312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Enterprise Search,Release 14 (14.0.1),Supported,312,X,X312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,3D Visualization,Release 14 (14.0.1),Supported,312,Y,Y312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Process Engine,Release 18 | (14.0.1),Supported,312,Z,Z312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Event Handling Framework,Release 27 | (14.0.1),Supported,312,AA,AA312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Reporting,Release 28 (14.0.1),Supported,312,AB,AB312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,AI Assistant,Release 35 [3] | (14.0.1),Certified,312,AD,AD312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,IOM SDK,15.0.1,Certified,312,AG,AG312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Package Import/Export Utility,15.0.0,Certified,312,AH,AH312
Release 29 | (Build 14.0.20.39432),Jun-2026 4,3D Visualization,Release 21 (14.0.3),Supported,315,Y,Y315
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Office Connector,Release 20 (14.0.2),Supported,316,U,U316
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Enterprise Search,Release 20 (14.0.2),Supported,317,X,X317
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Reporting,Release 29 (14.0.2),Certified,317,AB,AB317
Release 29 | (Build 14.0.20.39432),Jun-2026 4,3D Visualization,Release 26 (14.0.4),Supported,318,Y,Y318
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Variant Management,Release 27 | (14.0.2),Supported,320,P,P320
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Office Connector,Release 24 (14.0.3),Supported,320,U,U320
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Event Handling Framework,Release 32 | (14.0.2),Certified,320,AA,AA320
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Simulation Management,Release 23 (14.0.2),Supported,321,H,H321
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Component Engineering,Release 22 | (14.0.2),Certified,321,I,I321
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Aras Portal,Release 14 | (14.14.27),Certified,321,T,T321
Release 29 | (Build 14.0.20.39432),Jun-2026 4,3D Visualization,Release 29 (14.0.5),Certified,321,Y,Y321
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Enterprise Search,Release 32 (14.0.3),Certified,322,X,X322
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Reporting,Release 36 (14.0.3),Certified,322,AB,AB322
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Office Connector,Release 27 (14.0.4),Supported,324,U,U324
Release 29 | (Build 14.0.20.39432),Jun-2026 4,3D Visualization,Release 31 (14.0.6),Certified,324,Y,Y324
Release 29 | (Build 14.0.20.39432),Jun-2026 4,3D Visualization,Release 33 (14.0.7),Certified,327,Y,Y327
Release 29 | (Build 14.0.20.39432),Jun-2026 4,Reporting,Release 37 (14.0.4),Certified,327,AB,AB327
Release 29 | (Build 14.0.20.39432),Jun-2026 4,3D Visualization,Release 35 (14.0.8),Certified,330,Y,Y330
Release 30 | (Build 14.0.22.40048),Aug-2026,Product Engineering,Release 14 | (14.0.1),Certified,333,D,D333
Release 30 | (Build 14.0.22.40048),Aug-2026,Program Management,Release 14 | (14.0.1),Supported,333,E,E333
Release 30 | (Build 14.0.22.40048),Aug-2026,Requirements Engineering,Release 14 | (14.0.1),Supported,333,F,F333
Release 30 | (Build 14.0.22.40048),Aug-2026,Systems Architecture,Release 14 | (14.0.1),Supported,333,G,G333
Release 30 | (Build 14.0.22.40048),Aug-2026,Simulation Management,Release 14 (14.0.1),Supported,333,H,H333
Release 30 | (Build 14.0.22.40048),Aug-2026,Component Engineering,Release 14 | (14.0.1),Supported,333,I,I333
Release 30 | (Build 14.0.22.40048),Aug-2026,Technical Documentation,Release 14 | (14.0.1),Supported,333,J,J333
Release 30 | (Build 14.0.22.40048),Aug-2026,Quality Management System,Release 14 | (14.0.1),Supported,333,K,K333
Release 30 | (Build 14.0.22.40048),Aug-2026,Process Quality Binding,Release 14 | (14.0.1),Supported,333,L,L333
Release 30 | (Build 14.0.22.40048),Aug-2026,Manufacturing Process Planning,Release 19 | (14.0.2),Supported,333,M,M333
Release 30 | (Build 14.0.22.40048),Aug-2026,Digital Twin Core,Release 20 | (14.0.1),Supported,333,N,N333
Release 30 | (Build 14.0.22.40048),Aug-2026,Unified Change Management,Release 30 5 (14.1.0),Certified,333,O,O333
Release 30 | (Build 14.0.22.40048),Aug-2026,Variant Management,Release 22 | (14.0.1),Supported,333,P,P333
Release 30 | (Build 14.0.22.40048),Aug-2026,Supplier Management,Release 27 | (14.0.8.1.1),End of Life,333,R,R333
Release 30 | (Build 14.0.22.40048),Aug-2026,Aras ProAppDesigner,Release 14 | (14.14.27),Certified,333,S,S333
Release 30 | (Build 14.0.22.40048),Aug-2026,Aras Portal,Release 27 | (14.0.8.1.1),End of Life,333,T,T333
Release 30 | (Build 14.0.22.40048),Aug-2026,Office Connector,Release 14 (14.0.1),Supported,333,U,U333
Release 30 | (Build 14.0.22.40048),Aug-2026,Office Productivity Connector,Release 27 | (14.0.1),Certified,333,V,V333
Release 30 | (Build 14.0.22.40048),Aug-2026,Enterprise Search,Release 14 (14.0.1),Supported,333,X,X333
Release 30 | (Build 14.0.22.40048),Aug-2026,3D Visualization,Release 14 (14.0.1),Supported,333,Y,Y333
Release 30 | (Build 14.0.22.40048),Aug-2026,Process Engine,Release 18 | (14.0.1),Supported,333,Z,Z333
Release 30 | (Build 14.0.22.40048),Aug-2026,Event Handling Framework,Release 27 | (14.0.1),Supported,333,AA,AA333
Release 30 | (Build 14.0.22.40048),Aug-2026,Reporting,Release 28 (14.0.1),Supported,333,AB,AB333
Release 30 | (Build 14.0.22.40048),Aug-2026,AI Assistant,Release 35 [3] | (14.0.1),Certified,333,AD,AD333
Release 30 | (Build 14.0.22.40048),Aug-2026,Workflow UI,Release 37 (14.1.0),Certified,333,AF,AF333
Release 30 | (Build 14.0.22.40048),Aug-2026,IOM SDK,15.0.1,Certified,333,AG,AG333
Release 30 | (Build 14.0.22.40048),Aug-2026,Package Import/Export Utility,15.0.0,Certified,333,AH,AH333
Release 30 | (Build 14.0.22.40048),Aug-2026,3D Visualization,Release 21 (14.0.3),Supported,336,Y,Y336
Release 30 | (Build 14.0.22.40048),Aug-2026,Office Connector,Release 20 (14.0.2),Supported,337,U,U337
Release 30 | (Build 14.0.22.40048),Aug-2026,Enterprise Search,Release 20 (14.0.2),Supported,338,X,X338
Release 30 | (Build 14.0.22.40048),Aug-2026,Reporting,Release 29 (14.0.2),Supported,338,AB,AB338
Release 30 | (Build 14.0.22.40048),Aug-2026,3D Visualization,Release 26 (14.0.4),Supported,339,Y,Y339
Release 30 | (Build 14.0.22.40048),Aug-2026,Variant Management,Release 27 | (14.0.2),Supported,341,P,P341
Release 30 | (Build 14.0.22.40048),Aug-2026,Office Connector,Release 24 (14.0.3),Supported,341,U,U341
Release 30 | (Build 14.0.22.40048),Aug-2026,Event Handling Framework,Release 32 | (14.0.2),Certified,341,AA,AA341
Release 30 | (Build 14.0.22.40048),Aug-2026,Simulation Management,Release 23 (14.0.2),Supported,342,H,H342
Release 30 | (Build 14.0.22.40048),Aug-2026,Component Engineering,Release 22 | (14.0.2),Certified,342,I,I342
Release 30 | (Build 14.0.22.40048),Aug-2026,Aras Portal,Release 14 | (14.14.27),Certified,342,T,T342
Release 30 | (Build 14.0.22.40048),Aug-2026,3D Visualization,Release 29 (14.0.5),Supported,342,Y,Y342
Release 30 | (Build 14.0.22.40048),Aug-2026,Enterprise Search,Release 32 (14.0.3),Certified,343,X,X343
Release 30 | (Build 14.0.22.40048),Aug-2026,Reporting,Release 36 (14.0.3),Certified,343,AB,AB343
Release 30 | (Build 14.0.22.40048),Aug-2026,Office Connector,Release 27 (14.0.4),Supported,345,U,U345
Release 30 | (Build 14.0.22.40048),Aug-2026,3D Visualization,Release 31 (14.0.6),Certified,345,Y,Y345
Release 30 | (Build 14.0.22.40048),Aug-2026,3D Visualization,Release 33 (14.0.7),Certified,348,Y,Y348
Release 30 | (Build 14.0.22.40048),Aug-2026,Reporting,Release 37 (14.0.4),Certified,348,AB,AB348
Release 30 | (Build 14.0.22.40048),Aug-2026,3D Visualization,Release 35 (14.0.8),Certified,351,Y,Y351
Release 31 | (Build 14.0.25.40942),Nov-2026,Product Engineering,Release 14 | (14.0.1),Certified,354,D,D354
Release 31 | (Build 14.0.25.40942),Nov-2026,Program Management,Release 14 | (14.0.1),Supported,354,E,E354
Release 31 | (Build 14.0.25.40942),Nov-2026,Requirements Engineering,Release 14 | (14.0.1),Supported,354,F,F354
Release 31 | (Build 14.0.25.40942),Nov-2026,Systems Architecture,Release 14 | (14.0.1),Supported,354,G,G354
Release 31 | (Build 14.0.25.40942),Nov-2026,Simulation Management,Release 14 (14.0.1),Supported,354,H,H354
Release 31 | (Build 14.0.25.40942),Nov-2026,Component Engineering,Release 14 | (14.0.1),Supported,354,I,I354
Release 31 | (Build 14.0.25.40942),Nov-2026,Technical Documentation,Release 14 | (14.0.1),Supported,354,J,J354
Release 31 | (Build 14.0.25.40942),Nov-2026,Quality Management System,Release 14 | (14.0.1),Supported,354,K,K354
Release 31 | (Build 14.0.25.40942),Nov-2026,Process Quality Binding,Release 14 | (14.0.1),Supported,354,L,L354
Release 31 | (Build 14.0.25.40942),Nov-2026,Manufacturing Process Planning,Release 19 | (14.0.2),Supported,354,M,M354
Release 31 | (Build 14.0.25.40942),Nov-2026,Digital Twin Core,Release 31 | (14.0.2),Certified,354,N,N354
Release 31 | (Build 14.0.25.40942),Nov-2026,Unified Change Management,Release 30 5 (14.1.0),Certified,354,O,O354
Release 31 | (Build 14.0.25.40942),Nov-2026,Variant Management,Release 22 | (14.0.1),Supported,354,P,P354
Release 31 | (Build 14.0.25.40942),Nov-2026,Supplier Management,Release 27 | (14.0.8.1.1),End of Life,354,R,R354
Release 31 | (Build 14.0.25.40942),Nov-2026,Aras ProAppDesigner,Release 14 | (14.14.27),Certified,354,S,S354
Release 31 | (Build 14.0.25.40942),Nov-2026,Aras Portal,Release 27 | (14.0.8.1.1),End of Life,354,T,T354
Release 31 | (Build 14.0.25.40942),Nov-2026,Office Connector,Release 14 (14.0.1),Supported,354,U,U354
Release 31 | (Build 14.0.25.40942),Nov-2026,Office Productivity Connector,Release 27 | (14.0.1),Certified,354,V,V354
Release 31 | (Build 14.0.25.40942),Nov-2026,Enterprise Search,Release 14 (14.0.1),Supported,354,X,X354
Release 31 | (Build 14.0.25.40942),Nov-2026,3D Visualization,Release 14 (14.0.1),Supported,354,Y,Y354
Release 31 | (Build 14.0.25.40942),Nov-2026,Process Engine,Release 18 | (14.0.1),Supported,354,Z,Z354
Release 31 | (Build 14.0.25.40942),Nov-2026,Event Handling Framework,Release 27 | (14.0.1),Supported,354,AA,AA354
Release 31 | (Build 14.0.25.40942),Nov-2026,Reporting,Release 28 (14.0.1),Supported,354,AB,AB354
Release 31 | (Build 14.0.25.40942),Nov-2026,AI Assistant,Release 35 [3] | (14.0.1),Certified,354,AD,AD354
Release 31 | (Build 14.0.25.40942),Nov-2026,Workflow UI,Release 37 (14.1.0),Certified,354,AF,AF354
Release 31 | (Build 14.0.25.40942),Nov-2026,IOM SDK,15.0.1,Certified,354,AG,AG354
Release 31 | (Build 14.0.25.40942),Nov-2026,Package Import/Export Utility,15.0.0,Certified,354,AH,AH354
Release 31 | (Build 14.0.25.40942),Nov-2026,Office Connector,Release 20 (14.0.2),Supported,357,U,U357
Release 31 | (Build 14.0.25.40942),Nov-2026,3D Visualization,Release 21 (14.0.3),Supported,357,Y,Y357
Release 31 | (Build 14.0.25.40942),Nov-2026,Enterprise Search,Release 20 (14.0.2),Supported,359,X,X359
Release 31 | (Build 14.0.25.40942),Nov-2026,Reporting,Release 29 (14.0.2),Supported,359,AB,AB359
Release 31 | (Build 14.0.25.40942),Nov-2026,Office Connector,Release 24 (14.0.3),Supported,360,U,U360
Release 31 | (Build 14.0.25.40942),Nov-2026,3D Visualization,Release 26 (14.0.4),Supported,360,Y,Y360
Release 31 | (Build 14.0.25.40942),Nov-2026,Variant Management,Release 27 | (14.0.2),Supported,362,P,P362
Release 31 | (Build 14.0.25.40942),Nov-2026,Event Handling Framework,Release 32 | (14.0.2),Certified,362,AA,AA362
Release 31 | (Build 14.0.25.40942),Nov-2026,Simulation Management,Release 23 (14.0.2),Supported,363,H,H363
Release 31 | (Build 14.0.25.40942),Nov-2026,Component Engineering,Release 22 | (14.0.2),Certified,363,I,I363
Release 31 | (Build 14.0.25.40942),Nov-2026,Aras Portal,Release 14 | (14.14.27),Certified,363,T,T363
Release 31 | (Build 14.0.25.40942),Nov-2026,Office Connector,Release 27 (14.0.4),Supported,363,U,U363
Release 31 | (Build 14.0.25.40942),Nov-2026,3D Visualization,Release 29 (14.0.5),Supported,363,Y,Y363
Release 31 | (Build 14.0.25.40942),Nov-2026,Enterprise Search,Release 32 (14.0.3),Certified,364,X,X364
Release 31 | (Build 14.0.25.40942),Nov-2026,Reporting,Release 36 (14.0.3),Certified,364,AB,AB364
Release 31 | (Build 14.0.25.40942),Nov-2026,Office Connector,Release 31 (14.0.5),Certified,366,U,U366
Release 31 | (Build 14.0.25.40942),Nov-2026,3D Visualization,Release 31 (14.0.6),Certified,366,Y,Y366
Release 31 | (Build 14.0.25.40942),Nov-2026,3D Visualization,Release 33 (14.0.7),Certified,369,Y,Y369
Release 31 | (Build 14.0.25.40942),Nov-2026,Reporting,Release 37 (14.0.4),Certified,369,AB,AB369
Release 31 | (Build 14.0.25.40942),Nov-2026,3D Visualization,Release 35 (14.0.8),Certified,372,Y,Y372
Release 32 | (Build 14.0.28.41847),Feb-2027,Product Engineering,Release 14 | (14.0.1),Certified,375,D,D375
Release 32 | (Build 14.0.28.41847),Feb-2027,Program Management,Release 14 | (14.0.1),Supported,375,E,E375
Release 32 | (Build 14.0.28.41847),Feb-2027,Requirements Engineering,Release 14 | (14.0.1),Supported,375,F,F375
Release 32 | (Build 14.0.28.41847),Feb-2027,Systems Architecture,Release 14 | (14.0.1),Supported,375,G,G375
Release 32 | (Build 14.0.28.41847),Feb-2027,Simulation Management,Release 14 (14.0.1),Supported,375,H,H375
Release 32 | (Build 14.0.28.41847),Feb-2027,Component Engineering,Release 14 | (14.0.1),Supported,375,I,I375
Release 32 | (Build 14.0.28.41847),Feb-2027,Technical Documentation,Release 14 | (14.0.1),Supported,375,J,J375
Release 32 | (Build 14.0.28.41847),Feb-2027,Quality Management System,Release 14 | (14.0.1),Supported,375,K,K375
Release 32 | (Build 14.0.28.41847),Feb-2027,Process Quality Binding,Release 14 | (14.0.1),Supported,375,L,L375
Release 32 | (Build 14.0.28.41847),Feb-2027,Manufacturing Process Planning,Release 19 | (14.0.2),Supported,375,M,M375
Release 32 | (Build 14.0.28.41847),Feb-2027,Digital Twin Core,Release 31 | (14.0.2),Supported,375,N,N375
Release 32 | (Build 14.0.28.41847),Feb-2027,Unified Change Management,Release 30 (14.1.0),Certified,375,O,O375
Release 32 | (Build 14.0.28.41847),Feb-2027,Variant Management,Release 22 | (14.0.1),Supported,375,P,P375
Release 32 | (Build 14.0.28.41847),Feb-2027,Supplier Management,Release 32 | (14.0.28.1.1),End of Life,375,R,R375
Release 32 | (Build 14.0.28.41847),Feb-2027,Aras ProAppDesigner,Release 14 | (14.14.32),Certified,375,S,S375
Release 32 | (Build 14.0.28.41847),Feb-2027,Aras Portal,Release 32 | (14.0.28.1.1),End of Life,375,T,T375
Release 32 | (Build 14.0.28.41847),Feb-2027,Office Connector,Release 24 (14.0.3),Supported,375,U,U375
Release 32 | (Build 14.0.28.41847),Feb-2027,Office Productivity Connector,Release 32 | (14.0.2),Certified,375,V,V375
Release 32 | (Build 14.0.28.41847),Feb-2027,Enterprise Search,Release 14 (14.0.1),Supported,375,X,X375
Release 32 | (Build 14.0.28.41847),Feb-2027,3D Visualization,Release 21 (14.0.3),Supported,375,Y,Y375
Release 32 | (Build 14.0.28.41847),Feb-2027,Process Engine,Release 18 | (14.0.1),Supported,375,Z,Z375
Release 32 | (Build 14.0.28.41847),Feb-2027,Event Handling Framework,Release 32 | (14.0.2),Certified,375,AA,AA375
Release 32 | (Build 14.0.28.41847),Feb-2027,Reporting,Release 28 (14.0.1),Supported,375,AB,AB375
Release 32 | (Build 14.0.28.41847),Feb-2027,OAuth Registry,Release 32 | (14.0.1),Certified,375,AC,AC375
Release 32 | (Build 14.0.28.41847),Feb-2027,AI Assistant,Release 35 [3] | (14.0.1),Certified,375,AD,AD375
Release 32 | (Build 14.0.28.41847),Feb-2027,Workflow UI,Release 37 (14.1.0),Certified,375,AF,AF375
Release 32 | (Build 14.0.28.41847),Feb-2027,IOM SDK,15.0.1,Certified,375,AG,AG375
Release 32 | (Build 14.0.28.41847),Feb-2027,Package Import/Export Utility,15.0.0,Certified,375,AH,AH375
Release 32 | (Build 14.0.28.41847),Feb-2027,3D Visualization,Release 26 (14.0.4),Supported,378,Y,Y378
Release 32 | (Build 14.0.28.41847),Feb-2027,Reporting,Release 29 (14.0.2),Supported,379,AB,AB379
Release 32 | (Build 14.0.28.41847),Feb-2027,Office Connector,Release 27 (14.0.4),Supported,380,U,U380
Release 32 | (Build 14.0.28.41847),Feb-2027,Enterprise Search,Release 20 (14.0.2),Supported,380,X,X380
